name,github,type,source
AJAM,https://github.com/ajam,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Al Jazeera Interactive,https://github.com/ajinteractive,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
American Public Media,https://github.com/APMG,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Associated Press,https://github.com/associatedpress,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Atlanta Journal-Constitution,https://github.com/NewsappAJC,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Austin American-Statesman,https://github.com/statesman,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
BBC News,https://github.com/BBC-News,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
BBC News Labs,https://github.com/BBC-News-Labs,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
BBC Visual Journalism,https://github.com/bbcvisualjournalism,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Bloomberg,https://github.com/bloomberg,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Bloomberg Media,https://github.com/bloombergmedia,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Bloomberg Visual Data,https://github.com/bvisualdata,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Boston Globe,https://github.com/bostonglobe,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
BuzzFeed,https://github.com/BuzzFeed,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
BuzzFeedNews,https://github.com/BuzzFeedNews,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Buzzfeed OpenLab,https://github.com/buzzfeed-openlab,lab,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Chicago Tribune News Applications Team,https://github.com/newsapps,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Dallas Morning News,https://github.com/dallasmorningnews,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Denver Post,https://github.com/denverpost,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Digital First Media's Thunderdome,https://github.com/thunderdome-data,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Dow Jones,https://github.com/dowjones,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Financial Times,https://github.com/financial-times,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
FT Chinese Developers,https://github.com/ftchinese,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
FT Chinese Editorial,https://github.com/ftc-editorial,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
FT Interactive,https://github.com/ft-interactive/,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
FT Labs,https://github.com/ftlabs,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
First Look Media,https://github.com/firstlookmedia,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Gawker Media,https://github.com/gawkermedia,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Guardian,https://github.com/guardian,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Five Thirty Eight,https://github.com/fivethirtyeight,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Huffington Post Data,https://github.com/huffpostdata,newsorg-profit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Inside Energy,https://github.com/InsideEnergy,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Initium Lab 端傳媒,https://github.com/initiumlab,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
La Nación (Buenos Aires),https://github.com/lanacioncom,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
La Nación (Costa Rica),https://github.com/nacion,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Los Angeles Times Data Desk,https://github.com/datadesk,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Marshall Project,https://github.com/themarshallproject,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
McClatchy Company,https://github.com/mcclatchy,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Mic News,https://github.com/micnews,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
MinnPost,https://github.com/minnpost,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Mother Jones,https://github.com/motherjones,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
National Geographic,https://github.com/natgeo,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
New York Times,https://github.com/NYTimes,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
New York Times newsroom developers,https://github.com/newsdev,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
NYT The Upshot,https://github.com/theupshot,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Onion,https://github.com/theonion,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
The Palm Beach Post,https://github.com/PalmBeachPost,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
ProPublica,https://github.com/propublica,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
PRX,https://github.com/PRX,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Quartz,https://github.com/quartz,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Southern California Public Radio,https://github.com/SCPR,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Star Tribune,https://github.com/striblab,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
"Register-Guard (Eugene, Ore.)",https://github.com/registerguard,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Reporter 報導者,https://github.com/twreporter,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Reveal/CIR,https://github.com/cirlabs,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
St. Louis Post-Dispatch,https://github.com/PostDispatchInteractive,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
St. Louis Public Radio,https://github.com/stlpublicradio,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Seattle Times,https://github.com/seattletimes,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Tampa Bay Times,https://github.com/tbtimes,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Texas Tribune,https://github.com/texastribune,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Time Magazine,https://github.com/TimeMagazine,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Wall Street Journal,https://github.com/WSJ,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Washington Post,https://github.com/washingtonpost,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Vermont Public Radio,https://github.com/vprnet,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Vox Media,https://github.com/voxmedia,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
WBUR Learning Lab,https://github.com/LearningLab,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
WRAL Data Desk,https://github.com/wraldata,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
WNYC DataNews,https://github.com/datanews,newsorg-nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
YLE (Finnish National Broadcaster),https://github.com/Yleisradio,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Zeit Online,https://github.com/ZeitOnline,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Census Reporter,https://github.com/censusreporter,project,https://github.com/kleinmatic/open-journalism/blob/master/README.md
DataMade,https://github.com/datamade,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
DataWrapper,https://github.com/datawrapper,project,https://github.com/kleinmatic/open-journalism/blob/master/README.md
DocumentCloud,https://github.com/documentcloud,project,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Freedom of the Press Foundation,https://github.com/freedomofpress,nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Github's Journalism Showcases,https://github.com/showcases/open-journalism,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Institute for Nonprofit News,https://github.com/inn,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
IRE/NICAR,https://github.com/ireapps,nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Journalism++,https://github.com/jplusplus,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
NewsApps.io,https://github.com/newsappsio,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
NewsLynx,https://github.com/newslynx,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Northwestern U. Knight Lab,https://github.com/NUKnightLab,lab,https://github.com/kleinmatic/open-journalism/blob/master/README.md
OpenElections,https://github.com/openelections,project,https://github.com/kleinmatic/open-journalism/blob/master/README.md
OpenNews,https://github.com/openNews,nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Overview Project,https://github.com/overview,project,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Poderopedia,https://github.com/poderopedia,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
SourceFabric,https://github.com/sourcefabric,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
SunlightLabs,https://github.com/sunlightlabs,nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
WireService,https://github.com/wireservice,,https://github.com/kleinmatic/open-journalism/blob/master/README.md